model,accuracy,precision,recall,f1,roc_auc
AgHealth+,0.9207789752316128,0.9503205128205128,0.8893888263967004,0.9188456323842727,0.9711669336527442
Predictive-only (B2),0.8591416146719607,0.871616395978345,0.8451443569553806,0.8581762802208261,0.9267284095208923
Human-schedule (B3),0.8553601815087918,0.9276079136690647,0.7735283089613798,0.8435902678388878,0.8960564712019693
Rules-only (B1),0.8018529022499528,0.8732134624250807,0.7101612298462692,0.7832919768403639,0.8409493006738001
