feature,value
sex,0.0
age,0.0012300963930415982
s6,0.0028936211213626017
s1,0.02180837852456424
s2,0.027442824269236634
s5,0.034376053838249626
s3,0.11927214653023958
s4,0.13334573301650468
bp,0.15912642171128516
bmi,0.5005047245955159
