model,accuracy,precision,recall,f1,roc_auc
Predictive-only (B2),0.8178343949044586,0.22377622377622378,0.5,0.30917874396135264,0.8323834084604717
AgHealth+,0.7312101910828025,0.21176470588235294,0.84375,0.3385579937304075,0.8317441054091539
Human-schedule (B3),0.8433121019108281,0.21359223300970873,0.34375,0.2634730538922156,0.8213202149791956
Rules-only (B1),0.7375796178343949,0.21825396825396826,0.859375,0.34810126582278483,0.7763414528432732
