feature,value
s5,0.024860695211583773
age,0.03283967134347092
s2,0.040625514004471404
sex,0.06155859690214766
s4,0.07392270550472793
s1,0.09043746242630647
s3,0.0925419651636995
s6,0.15357989545841816
bp,0.15486830631374282
bmi,0.2747651876714313
