model,accuracy,precision,recall,f1,roc_auc
AgHealth+,0.8518518518518519,1.0,0.3333333333333333,0.5,0.9434558136980282
Predictive-only (B2),0.8431372549019608,0.8409090909090909,0.3627450980392157,0.5068493150684932,0.9331026528258362
Human-schedule (B3),0.7952069716775599,0.5606060606060606,0.3627450980392157,0.44047619047619047,0.8327566320645905
Rules-only (B1),0.8518518518518519,0.6976744186046512,0.5882352941176471,0.6382978723404256,0.8258911407700336
