feature,value
s6,0.00693940600940507
s1,0.008013922539101307
s4,0.01082417599769476
age,0.1631946225453233
s2,0.25210124448616267
bp,0.2736123193033635
s3,0.41766113480071154
sex,0.5867103932119381
bmi,0.7783403533787283
s5,0.7783403533787283
